Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Military expenditure (% of central government expenditure),19.62003245,19.53217252,18.0437749,17.79273532,19.01688708,18.45272872,16.7890124,15.62686054,15.11642595,17.46733031,16.72914967,18.37984376,15.69404634,,
Arms exports (SIPRI trend indicator values),21000000,2000000,0,4000000,27000000,19000000,33000000,21000000,11000000,27000000,5000000,6000000,2000000,10000000,
General government final consumption expenditure (current US$),59843846811,61054201823,62300703235,70678021470,78901444969,90713009827,98007049802,1.27E+11,1.34E+11,1.63E+11,1.95E+11,2.14E+11,2.19E+11,2.22E+11,
General government final consumption expenditure (current LCU),2.73E+12,2.91E+12,3.02E+12,3.25E+12,3.55E+12,4.02E+12,4.43E+12,5.13E+12,6.15E+12,7.71E+12,8.90E+12,1.03E+13,1.19E+13,1.34E+13,
General government final consumption expenditure (constant 2005 US$),76312030940,78107882567,77963188683,80127336509,83312983490,90713009827,94137481350,1.03E+11,1.14E+11,1.30E+11,1.37E+11,1.47E+11,1.56E+11,1.62E+11,
General government final consumption expenditure (annual % growth),1.375863648,2.35330079,-0.18524876,2.775858534,3.97573053,8.882200622,3.775061074,9.571145767,10.37549069,13.88001874,5.771594085,6.859808344,6.167351429,3.830083581,
General government final consumption expenditure (constant LCU),3.25E+12,3.32E+12,3.32E+12,3.41E+12,3.55E+12,3.86E+12,4.01E+12,4.39E+12,4.84E+12,5.52E+12,5.84E+12,6.24E+12,6.62E+12,6.87E+12,
General government final consumption expenditure (% of GDP),12.55616831,12.36029277,11.89016055,11.42998015,10.9344538,10.87405625,10.32613193,10.28698188,10.9294157,11.90446959,11.43528913,11.38653348,11.75812233,11.81270115,
"Household final consumption expenditure, etc. (current US$)",3.06E+11,3.11E+11,3.36E+11,3.90E+11,4.21E+11,4.80E+11,5.41E+11,6.90E+11,7.17E+11,7.81E+11,9.64E+11,1.10E+12,1.12E+12,1.13E+12,
"Household final consumption expenditure, etc. (current LCU)",1.40E+13,1.48E+13,1.63E+13,1.79E+13,1.89E+13,2.13E+13,2.45E+13,2.78E+13,3.30E+13,3.70E+13,4.39E+13,5.28E+13,6.10E+13,6.85E+13,
"Household final consumption expenditure, etc. (constant 2005 US$)",3.93E+11,4.04E+11,4.18E+11,4.53E+11,4.44E+11,4.80E+11,5.18E+11,5.53E+11,6.15E+11,6.44E+11,6.91E+11,7.65E+11,8.19E+11,8.55E+11,
"Household final consumption expenditure, etc. (annual % growth)",6.56227679,2.66097535,3.481221086,8.382745425,-1.915588362,8.120415938,7.764965903,6.804439226,11.29153094,4.632603458,7.369339364,10.6664363,7.03856975,4.448066833,
"Household final consumption expenditure, etc. (constant LCU)",1.68E+13,1.72E+13,1.78E+13,1.93E+13,1.89E+13,2.05E+13,2.20E+13,2.35E+13,2.62E+13,2.74E+13,2.94E+13,3.26E+13,3.49E+13,3.64E+13,
"Household final consumption expenditure, etc. (% of GDP)",64.21991275,62.92828157,64.10456176,63.11645064,58.36619701,57.59120081,56.96102321,55.69323623,58.61217497,57.17628026,56.40401282,58.57135825,60.28275109,60.35706371,
Household final consumption expenditure (current US$),3.08E+11,3.21E+11,3.35E+11,3.85E+11,4.27E+11,4.86E+11,5.47E+11,7.06E+11,7.06E+11,7.81E+11,9.57E+11,1.07E+12,1.06E+12,1.07E+12,
Household final consumption expenditure (current LCU),1.41E+13,1.53E+13,1.62E+13,1.77E+13,1.92E+13,2.15E+13,2.48E+13,2.84E+13,3.25E+13,3.71E+13,4.36E+13,5.14E+13,5.77E+13,6.49E+13,
Household final consumption expenditure (constant 2005 US$),3.69E+11,3.91E+11,4.02E+11,4.26E+11,4.48E+11,4.86E+11,5.27E+11,5.77E+11,6.18E+11,6.64E+11,7.22E+11,7.89E+11,8.28E+11,8.68E+11,
Household final consumption expenditure (annual % growth),3.439589377,5.952897394,2.870478557,5.92532039,5.171121736,8.646715002,8.476074386,9.359078009,7.211017003,7.385719881,8.683442152,9.25286442,5.004498902,4.847925785,
Household final consumption expenditure (constant LCU),1.58E+13,1.67E+13,1.72E+13,1.82E+13,1.92E+13,2.08E+13,2.26E+13,2.47E+13,2.65E+13,2.85E+13,3.09E+13,3.38E+13,3.55E+13,3.72E+13,
Household final consumption expenditure per capita (constant 2005 US$),353.6274325,368.5821199,373.1035036,389.0392974,402.9533426,431.3800052,461.3356784,497.6327051,526.4467073,557.9774432,598.6393438,645.7121309,669.5120716,693.3063968,
Household final consumption expenditure per capita growth (annual %),1.727900882,4.228938696,1.226696443,4.271145562,3.576514068,7.0545792,6.944149665,7.867812601,5.790214736,5.989350008,7.287373554,7.863296582,3.685843828,3.553980012,
"Household final consumption expenditure, PPP (current international $)",1.45E+12,1.56E+12,1.61E+12,1.73E+12,1.85E+12,2.06E+12,2.31E+12,2.56E+12,2.81E+12,2.88E+12,3.07E+12,3.43E+12,3.60E+12,3.70E+12,
"Household final consumption expenditure, PPP (constant 2011 international $)",1.60E+12,1.70E+12,1.75E+12,1.85E+12,1.95E+12,2.12E+12,2.30E+12,2.51E+12,2.69E+12,2.89E+12,3.14E+12,3.43E+12,3.61E+12,3.78E+12,
"Final consumption expenditure, etc. (current US$)",3.66E+11,3.72E+11,3.98E+11,4.61E+11,5.00E+11,5.71E+11,6.39E+11,8.17E+11,8.51E+11,9.43E+11,1.16E+12,1.32E+12,1.34E+12,1.35E+12,
"Final consumption expenditure, etc. (current LCU)",1.67E+13,1.77E+13,1.93E+13,2.12E+13,2.25E+13,2.53E+13,2.89E+13,3.29E+13,3.92E+13,4.47E+13,5.28E+13,6.30E+13,7.29E+13,8.19E+13,
"Final consumption expenditure, etc. (constant 2005 US$)",4.70E+11,4.82E+11,4.96E+11,5.33E+11,5.28E+11,5.71E+11,6.12E+11,6.56E+11,7.29E+11,7.74E+11,8.29E+11,9.12E+11,9.75E+11,1.02E+12,
"Final consumption expenditure, etc. (annual % growth)",5.684554047,2.611028871,2.887518119,7.501950236,-1.030797884,8.240612504,7.13169577,7.229807,11.14761904,6.075300067,7.101733606,10.03678386,6.898622632,4.349476906,
"Final consumption expenditure, etc. (constant LCU)",2.00E+13,2.05E+13,2.11E+13,2.27E+13,2.25E+13,2.43E+13,2.61E+13,2.79E+13,3.11E+13,3.29E+13,3.53E+13,3.88E+13,4.15E+13,4.33E+13,
"Final consumption expenditure, etc. (% of GDP)",76.77608106,75.28857434,75.99472231,74.54643078,69.30065081,68.46525706,67.28715514,65.9802181,69.54159067,69.08074985,67.83930196,69.95789174,72.04087342,72.16976485,
Final consumption expenditure (current US$),3.68E+11,3.82E+11,3.97E+11,4.56E+11,5.06E+11,5.77E+11,6.45E+11,8.33E+11,8.40E+11,9.44E+11,1.15E+12,1.29E+12,1.28E+12,1.29E+12,
Final consumption expenditure (current LCU),1.68E+13,1.82E+13,1.92E+13,2.10E+13,2.27E+13,2.55E+13,2.92E+13,3.35E+13,3.86E+13,4.48E+13,5.25E+13,6.17E+13,6.96E+13,7.83E+13,
Final consumption expenditure (constant 2005 US$),4.45E+11,4.69E+11,4.80E+11,5.06E+11,5.31E+11,5.77E+11,6.22E+11,6.80E+11,7.32E+11,7.94E+11,8.59E+11,9.35E+11,9.84E+11,1.03E+12,
Final consumption expenditure (constant LCU),1.90E+13,2.01E+13,2.05E+13,2.16E+13,2.27E+13,2.47E+13,2.66E+13,2.91E+13,3.13E+13,3.40E+13,3.68E+13,4.00E+13,4.21E+13,4.41E+13,
Gross national expenditure deflator (base year varies by country),83.63846248,86.4808697,90.59044892,93.22140542,100.0000062,103.8022835,110.3116931,116.639579,125.0200393,133.1679586,144.3050808,156.5791317,167.6325776,179.2521337,
Gross national expenditure (current US$),4.81E+11,4.98E+11,5.29E+11,6.23E+11,7.34E+11,8.57E+11,9.79E+11,1.29E+12,1.29E+12,1.44E+12,1.78E+12,2.00E+12,1.98E+12,1.94E+12,
Gross national expenditure (current LCU),2.20E+13,2.38E+13,2.56E+13,2.86E+13,3.30E+13,3.79E+13,4.43E+13,5.19E+13,5.92E+13,6.83E+13,8.12E+13,9.58E+13,1.08E+14,1.18E+14,
Gross national expenditure (constant 2005 US$),6.17E+11,6.45E+11,6.64E+11,7.20E+11,7.74E+11,8.57E+11,9.41E+11,1.04E+12,1.11E+12,1.20E+12,1.32E+12,1.43E+12,1.50E+12,1.54E+12,
Gross national expenditure (constant LCU),2.63E+13,2.75E+13,2.83E+13,3.07E+13,3.30E+13,3.66E+13,4.02E+13,4.45E+13,4.73E+13,5.13E+13,5.63E+13,6.12E+13,6.44E+13,6.56E+13,
Gross national expenditure (% of GDP),100.8908279,100.8613894,100.9630069,100.6846026,101.7547905,102.7448924,103.1588426,104.0144037,105.0669947,105.3777135,104.3677287,106.3444911,106.7398797,103.5958912,
Exports of goods and services (current US$),60878396866,60963546808,73452751290,90838365704,1.27E+11,1.61E+11,2.00E+11,2.53E+11,2.89E+11,2.74E+11,3.75E+11,4.49E+11,4.46E+11,4.66E+11,
Exports of goods and services (current LCU),2.78E+12,2.91E+12,3.56E+12,4.17E+12,5.69E+12,7.12E+12,9.05E+12,1.02E+13,1.33E+13,1.30E+13,1.71E+13,2.15E+13,2.43E+13,2.82E+13,
Exports of goods and services (constant 2005 US$),72477414110,75600846041,91541286558,1.00E+11,1.28E+11,1.61E+11,1.94E+11,2.05E+11,2.35E+11,2.24E+11,2.68E+11,3.10E+11,3.25E+11,3.52E+11,
Exports of goods and services (annual % growth),18.15351103,4.309524518,21.08500282,9.582219921,27.17641182,26.0737614,20.35546622,5.926048602,14.59741009,-4.685470553,19.61639884,15.57528416,4.972368108,8.443745545,
Exports of goods and services (constant LCU),3.23E+12,3.37E+12,4.08E+12,4.47E+12,5.69E+12,7.17E+12,8.63E+12,9.15E+12,1.05E+13,9.99E+12,1.20E+13,1.38E+13,1.45E+13,1.57E+13,
Exports of goods and services (% of GDP),12.77323297,12.34193985,14.01854169,14.6902912,17.55132848,19.28014883,21.0694752,20.43089434,23.60124526,20.04962324,21.97029603,23.86673003,23.99623723,24.81510435,
"Gross fixed capital formation, private sector (current LCU)",3.49E+12,4.30E+12,4.33E+12,5.07E+12,7.07E+12,8.49E+12,1.00E+13,1.24E+13,1.34E+13,1.51E+13,1.80E+13,2.22E+13,2.28E+13,,
"Gross fixed capital formation, private sector (% of GDP)",16.03843847,18.25459485,17.07102714,17.83112948,21.80363006,22.98579429,23.3812662,24.87116706,23.8079181,23.33943833,23.09679194,24.6611982,22.56868314,,
Gross fixed capital formation (current US$),1.08E+11,1.24E+11,1.24E+11,1.52E+11,2.07E+11,2.53E+11,2.97E+11,4.08E+11,3.96E+11,4.33E+11,5.28E+11,5.97E+11,5.65E+11,5.31E+11,
Gross fixed capital formation (current LCU),4.95E+12,5.90E+12,6.01E+12,6.97E+12,9.31E+12,1.12E+13,1.34E+13,1.64E+13,1.82E+13,2.06E+13,2.41E+13,2.86E+13,3.07E+13,3.21E+13,
Gross fixed capital formation (constant 2005 US$),1.38E+11,1.60E+11,1.59E+11,1.76E+11,2.18E+11,2.53E+11,2.88E+11,3.35E+11,3.46E+11,3.73E+11,4.14E+11,4.65E+11,4.68E+11,4.68E+11,
Gross fixed capital formation (annual % growth),-1.393950473,15.30297272,-0.435923041,10.56729954,23.98166551,16.19333744,13.81716633,16.20276707,3.50714723,7.666183955,10.99530424,12.25301259,0.775298859,-0.10538317,
Gross fixed capital formation (constant LCU),5.92E+12,6.82E+12,6.79E+12,7.51E+12,9.31E+12,1.08E+13,1.23E+13,1.43E+13,1.48E+13,1.59E+13,1.77E+13,1.99E+13,2.00E+13,2.00E+13,
Gross fixed capital formation (% of GDP),22.74240407,25.05427756,23.70041788,24.54609792,28.71582796,30.33252881,31.2890719,32.91846588,32.34597516,31.73551593,30.92283972,31.75527555,30.37137504,28.27911616,
Changes in inventories (current US$),6540711153,2561338257,6643222937,9844691827,26975119393,32927355397,43494372709,63368430576,38919295928,62280749343,95769148430,87073524764,80439617723,59062999296,
Changes in inventories (current LCU),2.99E+11,1.22E+11,3.22E+11,4.52E+11,1.21E+12,1.46E+12,1.97E+12,2.55E+12,1.79E+12,2.95E+12,4.36E+12,4.17E+12,4.38E+12,3.57E+12,
Changes in inventories (constant LCU),3.46E+11,1.29E+11,3.57E+11,4.78E+11,1.21E+12,1.42E+12,1.79E+12,2.23E+12,1.45E+12,2.38E+12,3.32E+12,2.51E+12,2.88E+12,2.32E+12,
Gross capital formation (current US$),1.15E+11,1.26E+11,1.31E+11,1.62E+11,2.34E+11,2.86E+11,3.40E+11,4.71E+11,4.35E+11,4.96E+11,6.24E+11,6.84E+11,6.45E+11,5.90E+11,
Gross capital formation (current LCU),5.25E+12,6.02E+12,6.33E+12,7.43E+12,1.05E+13,1.27E+13,1.54E+13,1.90E+13,2.00E+13,2.35E+13,2.84E+13,3.28E+13,3.51E+13,3.57E+13,
Gross capital formation (constant 2005 US$),1.46E+11,1.62E+11,1.67E+11,1.87E+11,2.46E+11,2.86E+11,3.30E+11,3.86E+11,3.80E+11,4.28E+11,4.91E+11,5.23E+11,5.35E+11,5.22E+11,
Gross capital formation (annual % growth),-6.768776788,10.98744637,2.860074168,11.72569266,31.74049817,16.29733399,15.28433052,17.20241983,-1.646121095,12.65695272,14.73136868,6.435659934,2.35340048,-2.51686275,
Gross capital formation (constant LCU),6.26E+12,6.95E+12,7.15E+12,7.99E+12,1.05E+13,1.22E+13,1.41E+13,1.65E+13,1.63E+13,1.83E+13,2.10E+13,2.24E+13,2.29E+13,2.23E+13,
Gross capital formation (% of GDP),24.11474684,25.57281502,24.96828459,26.1381718,32.45413968,34.27963536,35.87168745,38.03418563,35.52540406,36.29696362,36.5284267,36.38659932,34.69900627,31.42612636,
Imports of goods and services (current US$),65124164122,65218416873,78498604686,95071650073,1.39E+11,1.84E+11,2.30E+11,3.03E+11,3.51E+11,3.47E+11,4.50E+11,5.68E+11,5.71E+11,5.33E+11,
Imports of goods and services (current LCU),2.98E+12,3.11E+12,3.80E+12,4.37E+12,6.26E+12,8.13E+12,1.04E+13,1.22E+13,1.61E+13,1.65E+13,2.05E+13,2.72E+13,3.11E+13,3.23E+13,
Imports of goods and services (constant 2005 US$),86370830053,88913801985,99580630210,1.13E+11,1.39E+11,1.84E+11,2.23E+11,2.46E+11,3.02E+11,2.95E+11,3.41E+11,4.13E+11,4.40E+11,4.29E+11,
Imports of goods and services (annual % growth),4.589716462,2.944248574,11.99681938,13.88391695,22.19523474,32.58768742,21.48046934,10.19293829,22.71353771,-2.136108903,15.60868249,21.0590231,6.551328814,-2.549134204,
Imports of goods and services (constant LCU),3.90E+12,4.02E+12,4.50E+12,5.12E+12,6.26E+12,8.30E+12,1.01E+13,1.11E+13,1.36E+13,1.33E+13,1.54E+13,1.87E+13,1.99E+13,1.94E+13,
Imports of goods and services (% of GDP),13.66406087,13.20332921,14.98154859,15.37489378,19.30611897,22.02504125,24.22831779,24.44529807,28.66823998,25.42733671,26.33802469,30.21122109,30.73611692,28.41099556,
External balance on goods and services (current US$),-4245767257,-4254870065,-5045853397,-4233284370,-12662315623,-22898304670,-29981104764,-49726426951,-62024933904,-73425817285,-74620847984,-1.19E+11,-1.25E+11,-67487585654,
External balance on goods and services (current LCU),-1.94E+11,-2.03E+11,-2.44E+11,-1.95E+11,-5.69E+11,-1.01E+12,-1.36E+12,-2.00E+12,-2.85E+12,-3.48E+12,-3.40E+12,-5.72E+12,-6.82E+12,-4.08E+12,
External balance on goods and services (constant LCU),-6.68E+11,-6.44E+11,-4.15E+11,-6.48E+11,-5.69E+11,-1.13E+12,-1.45E+12,-1.96E+12,-3.15E+12,-3.35E+12,-3.47E+12,-4.86E+12,-5.40E+12,-3.67E+12,
External balance on goods and services (% of GDP),-0.890827898,-0.861389358,-0.963006898,-0.684602586,-1.754790489,-2.744892419,-3.158842592,-4.014403738,-5.066994722,-5.377713472,-4.367728659,-6.344491061,-6.739879689,-3.595891218,
Trade (% of GDP),26.43729384,25.54526907,29.00009028,30.06518498,36.85744745,41.30519008,45.29779299,44.87619241,52.26948525,45.47695995,48.30832072,54.07795111,54.73235415,53.22609991,
"Agriculture, value added (current US$)",1.01E+11,1.05E+11,1.00E+11,1.19E+11,1.26E+11,1.44E+11,1.60E+11,2.08E+11,2.05E+11,2.28E+11,2.90E+11,3.13E+11,3.02E+11,3.15E+11,
"Agriculture, value added (current LCU)",4.61E+12,4.99E+12,4.85E+12,5.45E+12,5.65E+12,6.38E+12,7.23E+12,8.37E+12,9.43E+12,1.08E+13,1.32E+13,1.50E+13,1.64E+13,1.91E+13,
"Agriculture, value added (constant 2005 US$)",1.27E+11,1.34E+11,1.25E+11,1.37E+11,1.37E+11,1.44E+11,1.50E+11,1.59E+11,1.59E+11,1.60E+11,1.74E+11,1.83E+11,1.85E+11,1.94E+11,
"Agriculture, value added (annual % growth)",-0.007618146,6.00708957,-6.604234507,9.048581157,0.183532766,5.13950618,4.155347384,5.79628224,0.092965745,0.808005015,8.597294652,5.017734399,1.416495983,4.713881365,
"Agriculture, value added (constant LCU)",5.23E+12,5.54E+12,5.18E+12,5.64E+12,5.65E+12,5.94E+12,6.19E+12,6.55E+12,6.56E+12,6.61E+12,7.18E+12,7.54E+12,7.65E+12,8.01E+12,
"Agriculture, value added (% of GDP)",23.02185278,22.92230619,20.69574147,20.7427547,19.02855235,18.81054342,18.28822509,18.2562719,17.78433237,17.73663649,18.20542941,17.86407554,17.51994517,18.20283992,
"Manufacturing, value added (current US$)",67044558195,66779634513,72002095604,85129242165,1.01E+11,1.18E+11,1.40E+11,1.82E+11,1.78E+11,1.94E+11,2.35E+11,2.58E+11,2.43E+11,2.23E+11,
"Manufacturing, value added (current LCU)",3.06E+12,3.18E+12,3.49E+12,3.91E+12,4.53E+12,5.22E+12,6.35E+12,7.33E+12,8.18E+12,9.22E+12,1.07E+13,1.24E+13,1.32E+13,1.35E+13,
"Manufacturing, value added (constant 2005 US$)",85749942029,87696744565,93718672707,99657259794,1.07E+11,1.18E+11,1.35E+11,1.49E+11,1.55E+11,1.72E+11,1.88E+11,2.02E+11,2.04E+11,2.03E+11,
"Manufacturing, value added (annual % growth)",7.299097852,2.270325192,6.866763609,6.336610321,7.383341695,10.1043557,14.31565869,10.27507722,4.328432471,11.2955621,8.860062839,7.413173833,1.144833497,-0.714390607,
"Manufacturing, value added (constant LCU)",3.63E+12,3.71E+12,3.97E+12,4.22E+12,4.53E+12,4.99E+12,5.70E+12,6.29E+12,6.56E+12,7.30E+12,7.95E+12,8.54E+12,8.64E+12,8.58E+12,
"Manufacturing, value added (% of GDP)",15.30913559,14.64174279,14.87006095,14.8978363,15.25256106,15.38618405,16.05827703,15.99097156,15.429653,15.09519681,14.79527917,14.73102401,14.06885064,12.89089674,
"Industry, value added (current US$)",1.14E+11,1.14E+11,1.27E+11,1.49E+11,1.85E+11,2.15E+11,2.52E+11,3.30E+11,3.26E+11,3.57E+11,4.32E+11,4.77E+11,4.52E+11,4.29E+11,
"Industry, value added (current LCU)",5.20E+12,5.46E+12,6.13E+12,6.83E+12,8.30E+12,9.54E+12,1.14E+13,1.33E+13,1.50E+13,1.70E+13,1.97E+13,2.28E+13,2.46E+13,2.59E+13,
"Industry, value added (constant 2005 US$)",1.51E+11,1.55E+11,1.67E+11,1.79E+11,1.96E+11,2.15E+11,2.42E+11,2.65E+11,2.77E+11,3.02E+11,3.25E+11,3.50E+11,3.54E+11,3.55E+11,
"Industry, value added (annual % growth)",6.032130923,2.608147396,7.211254418,7.318593477,9.814131561,9.71693933,12.16931217,9.673973075,4.441180541,9.163007721,7.55100058,7.814342988,0.963401848,0.354799491,
"Industry, value added (constant LCU)",6.40E+12,6.57E+12,7.04E+12,7.56E+12,8.30E+12,9.10E+12,1.02E+13,1.12E+13,1.17E+13,1.28E+13,1.37E+13,1.48E+13,1.49E+13,1.50E+13,
"Industry, value added (% of GDP)",25.99985845,25.08356068,26.17057368,26.00942339,27.92505818,28.13364443,28.84182691,29.03197639,28.28764061,27.75941723,27.15531166,27.22175805,26.20595719,24.77054166,
Chemicals (% of value added in manufacturing),21.14586452,20.38913104,19.2715567,18.03996116,16.6269788,16.14883231,14.54034233,13.61793302,15.46444252,15.58085892,,,,,
"Food, beverages and tobacco (% of value added in manufacturing)",13.16832458,13.26644992,11.90656325,10.2310433,9.056570584,9.308436426,10.2965401,8.762673955,9.671450633,9.001252989,,,,,
Machinery and transport equipment (% of value added in manufacturing),15.60869871,16.75125713,15.90663562,17.1444368,16.92019069,18.58105633,16.54970813,15.59109594,17.90563711,19.62208761,,,,,
Other manufacturing (% of value added in manufacturing),37.52290686,38.59039085,42.43239138,45.06758612,48.71546213,47.01917652,49.61183303,54.29940492,49.48151674,47.61809171,,,,,
Textiles and clothing (% of value added in manufacturing),12.55420534,11.00277105,10.48285306,9.516972619,8.680797797,8.94249841,9.00157641,7.72889216,7.476953009,8.17770878,,,,,
"Services, etc., value added (current US$)",2.23E+11,2.37E+11,2.57E+11,3.04E+11,3.51E+11,4.06E+11,4.62E+11,6.00E+11,6.22E+11,7.02E+11,8.69E+11,9.62E+11,9.71E+11,9.87E+11,
"Services, etc., value added (current LCU)",1.02E+13,1.13E+13,1.25E+13,1.40E+13,1.58E+13,1.80E+13,2.09E+13,2.42E+13,2.86E+13,3.33E+13,3.96E+13,4.61E+13,5.28E+13,5.97E+13,
"Services, etc., value added (constant 2005 US$)",2.76E+11,2.94E+11,3.14E+11,3.38E+11,3.66E+11,4.06E+11,4.47E+11,4.93E+11,5.42E+11,5.99E+11,6.57E+11,7.00E+11,7.49E+11,8.00E+11,
"Services, etc., value added (annual % growth)",5.065637713,6.611040503,6.741072487,7.889557988,8.279155201,10.9067274,10.05603426,10.26999319,9.978006647,10.49668713,9.666369995,6.566539748,6.957714407,6.77503542,
"Services, etc., value added (constant LCU)",1.19E+13,1.26E+13,1.35E+13,1.46E+13,1.58E+13,1.75E+13,1.92E+13,2.12E+13,2.33E+13,2.58E+13,2.83E+13,3.01E+13,3.22E+13,3.44E+13,
"Services, etc., value added (% of GDP)",50.97828877,51.99413313,53.13368485,53.24782191,53.04638947,53.05581215,52.869948,52.71175171,53.92802702,54.50394628,54.63925893,54.91416641,56.27409764,57.02661843,
Adjusted savings: education expenditure (current US$),19323439866,19122875856,19322559292,21605517395,23842803260,25965229065,29021745001,38014907267,37501310825,41828628931,52094736046,57443296466,56617925993,,
Adjusted savings: education expenditure (% of GNI),4.097133333,3.904646667,3.71216,3.519673333,3.327186667,3.1347,3.08161,3.08161,3.08161,3.08161,3.08161,3.08161,3.08161,,
Adjusted savings: carbon dioxide damage (current US$),8067479450,8467476718,8871635670,9576443039,10479466679,11455453175,12739474297,14189593221,16474729130,18378298664,19071920421,21929342593,23728679801,,
Adjusted savings: carbon dioxide damage (% of GNI),1.710541146,1.728950446,1.704377281,1.560062209,1.462375939,1.382980638,1.352712988,1.150253822,1.353784412,1.353970962,1.128179643,1.176424154,1.291508576,,
Adjusted savings: net forest depletion (current US$),4566899307,4320056042,3239859081,5969654449,6554447041,6520527676,10482577384,12374196544,12863279284,12522459915,22790892648,21673904720,19410156609,,
Adjusted savings: net forest depletion (% of GNI),0.968315968,0.88210019,0.622426621,0.972493886,0.914652047,0.787202688,1.113069365,1.003091959,1.05701932,0.922558035,1.348171582,1.162720903,1.056459269,,
Adjusted savings: consumption of fixed capital (current US$),45753543990,49482594441,53475163899,62865132322,71194919858,82152980149,92537768560,1.20E+11,1.23E+11,1.39E+11,1.68E+11,1.84E+11,1.82E+11,,
Adjusted savings: consumption of fixed capital (% of GNI),9.701086944,10.1037129,10.27339916,10.24112155,9.935022552,9.918069516,9.825918909,9.759147049,10.09796877,10.24847688,9.922615718,9.888087653,9.901995936,,
Adjusted savings: mineral depletion (current US$),904008012.4,1033991131,1086572215,1345784473,2050263575,5146035704,7200286141,15308241765,19785938688,9805073932,19745700965,23909806005,18258297534,,
Adjusted savings: mineral depletion (% of GNI),0.191676088,0.211127764,0.208747188,0.219236672,0.286107701,0.621264618,0.764546507,1.240935051,1.625877741,0.722362044,1.168036431,1.282668332,0.99376569,,
Adjusted savings: energy depletion (current US$),6759738546,7185421975,5968493432,8088979667,14085797909,16523936431,19297872388,23240399876,41920348149,21998364079,32043742945,42797214931,35452142581,,
Adjusted savings: energy depletion (% of GNI),1.433261899,1.467171265,1.14663913,1.317745162,1.965627887,1.994882595,2.049102028,1.883941164,3.444737296,1.620669395,1.89551433,2.295904546,1.92959518,,
Adjusted savings: particulate emission damage (current US$),6824785319,7208660397,7786212684,8506845275,9845180797,11326151246,12815272718,17260850235,17691681437,20949764617,26145417926,29592513005,29167314802,,
Adjusted savings: particulate emission damage (% of GNI),1.447053714,1.471916254,1.495850878,1.385818072,1.37386338,1.367370425,1.360761476,1.399219741,1.453785514,1.543416693,1.54660504,1.587523516,1.587523516,,
Adjusted savings: natural resources depletion (% of GNI),2.593253955,2.560399219,1.977812939,2.50947572,3.166387635,3.403349901,3.9267179,4.127968175,6.127634357,3.265589473,4.411722343,4.741293781,3.979820139,,
Adjusted savings: gross savings (% of GNI),25.26238842,27.07286002,26.59318227,28.46279646,32.97973653,33.90148857,35.23726113,36.75828074,34.05550755,34.10406013,34.52266916,32.67057751,30.6791464,,
Adjusted savings: net national savings (current US$),73392259641,83105827892,84947840794,1.12E+11,1.65E+11,1.99E+11,2.39E+11,3.33E+11,2.92E+11,3.24E+11,4.16E+11,4.25E+11,3.82E+11,,
Adjusted savings: net national savings (% of GNI),15.56130148,16.96914713,16.31978311,18.2216749,23.04471398,23.98341906,25.41134222,26.99913369,23.95753878,23.85558325,24.60005344,22.78248986,20.77715046,,
Adjusted net national income (current US$),4.14E+11,4.28E+11,4.57E+11,5.36E+11,6.23E+11,7.18E+11,8.12E+11,1.06E+12,1.02E+12,1.17E+12,1.45E+12,1.59E+12,1.58E+12,,
Adjusted net national income (constant 2005 US$),5.30E+11,5.53E+11,5.72E+11,6.19E+11,6.56E+11,7.18E+11,7.81E+11,8.60E+11,8.79E+11,9.81E+11,1.07E+12,1.14E+12,1.20E+12,,
Adjusted net national income (annual % growth),2.384004791,4.399834181,3.464773323,8.173692145,5.980974961,9.445912701,8.802325192,10.0513843,2.28652832,11.51212204,9.326657226,6.517416726,5.443164297,,
Adjusted net national income per capita (current US$),396.8762915,403.7038395,424.2111375,489.6571641,560.692825,636.9843112,710.4532668,916.4848134,867.8947081,986.3796088,1201.187555,1303.163318,1279.415014,,
"Adjusted net savings, including particulate emission damage (current US$)",65592788872,74013097486,77317627003,99971575553,1.46E+11,1.74E+11,2.06E+11,2.89E+11,2.20E+11,2.82E+11,3.48E+11,3.42E+11,3.12E+11,,
"Adjusted net savings, including particulate emission damage (% of GNI)",13.907586,15.11252787,14.85390201,16.28599224,20.36927369,20.96441809,21.85275985,23.40330196,18.1039445,20.77421612,20.59515641,18.35885841,16.99990823,,
"Adjusted net savings, excluding particulate emission damage (current US$)",72417574191,81221757883,85103839686,1.08E+11,1.56E+11,1.85E+11,2.19E+11,3.06E+11,2.38E+11,3.03E+11,3.74E+11,3.72E+11,3.42E+11,,
"Adjusted net savings, excluding particulate emission damage (% of GNI)",15.35463971,16.58444413,16.34975289,17.67181031,21.74313707,22.33178852,23.21352133,24.8025217,19.55773001,22.31763281,22.14176145,19.94638192,18.58743175,,
Exports as a capacity to import (constant LCU),3.65E+12,3.75E+12,4.21E+12,4.89E+12,5.69E+12,7.26E+12,8.77E+12,9.29E+12,1.12E+13,1.05E+13,1.29E+13,1.48E+13,1.55E+13,1.69E+13,
Coal rents (% of GDP),0.312511336,0.720061904,0.380647302,0.432015309,1.29946462,0.902680946,0.918357365,1.057403449,2.776880625,1.150569664,1.442820109,1.847151091,1.386575217,,
